,koi_disposition,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,ra,dec,koi_kepmag
1351,CONFIRMED,0,0,0,0,11.1895709,140.63504,0.00673,-0.00673,0.541,5.3,0.161,-0.161,143.3,1.81,1037.0,273.37,19.9,6188.0,124.0,-124.0,4.152,0.168,-0.112,1.465,285.41962,39.706108,13.781
1352,CONFIRMED,0,0,0,0,2.757977384,131.87907,0.00279,-0.00279,0.875,2.1489,0.0853,-0.0853,211.0,1.69,1332.0,744.97,22.5,5919.0,106.0,-130.0,4.435,0.063,-0.117,1.0,296.23001,50.27523,13.263
1353,FALSE POSITIVE,0,1,0,0,18.692860599,143.8331829,7.72e-05,-7.72e-05,0.116,3.88584,0.00636,-0.00636,51256.0,14.81,528.0,18.4,1281.9,5190.0,156.0,-140.0,4.66,0.028,-0.083,0.66,295.03354,46.600151,16.147
1354,CONFIRMED,0,0,0,0,14.80075082,132.82179,0.00229,-0.00229,0.367,5.762,0.0741,-0.0741,501.4,17.38,1912.0,3158.09,54.0,6327.0,301.0,-452.0,3.092,0.287,-0.123,7.663,292.17117,40.811378,12.538
1355,CONFIRMED,0,0,0,0,3.126861192,133.724959,0.000461,-0.000461,0.603,1.1926,0.0198,-0.0198,794.6,5.12,1391.0,886.72,94.6,4854.0,145.0,-116.0,3.939,0.637,-0.343,1.749,281.45718,46.746471,13.884
1356,FALSE POSITIVE,0,1,0,0,87.24250316,153.344695,0.000528,-0.000528,0.884,4.1206,0.0272,-0.0272,17860.0,15.86,390.0,5.49,335.2,5671.0,102.0,-113.0,4.501,0.028,-0.105,0.955,292.09824,47.940819,14.288
1357,CONFIRMED,0,0,0,0,16.87725775,138.64907,0.00212,-0.00212,0.516,3.7917,0.0667,-0.0667,818.4,2.54,642.0,40.09,43.1,5497.0,109.0,-109.0,4.512,0.042,-0.091,0.872,282.03549,43.631271,14.101
1358,CONFIRMED,0,0,0,0,12.05705659,135.41595,0.00305,-0.00305,0.548,2.3462,0.0989,-0.0989,523.9,1.96,689.0,53.26,20.8,5365.0,107.0,-107.0,4.537,0.036,-0.078,0.834,295.31314,46.237492,13.576
1359,CONFIRMED,0,0,0,0,28.26727385,140.92561,0.00258,-0.00258,0.01,4.5839,0.0874,-0.0874,1160.2,2.93,517.0,16.84,42.1,5132.0,84.0,-76.0,4.457,0.084,-0.039,0.886,284.61572,39.131039,14.907
1360,CONFIRMED,0,0,0,0,3.770590654,133.39088,0.00177,-0.00177,0.24,2.029,0.0554,-0.0554,314.4,2.13,1272.0,619.65,37.1,5714.0,77.0,-77.0,4.274,0.156,-0.104,1.208,291.91281,41.533611,14.668
1361,CONFIRMED,0,0,0,0,2.7073064,132.43068,0.00255,-0.00255,0.007,3.4378,0.0761,-0.0761,69.5,1.36,1709.0,2012.12,31.7,6045.0,121.0,-134.0,4.069,0.188,-0.101,1.629,289.23337,49.938931,11.894
1362,FALSE POSITIVE,1,0,0,0,23.11707222,149.56221,0.00187,-0.00187,0.807,3.9948,0.0856,-0.0856,2407.5,4.37,548.0,21.26,61.2,5275.0,184.0,-184.0,4.505,0.104,-0.095,0.796,295.9024,39.918362,15.462
1363,CONFIRMED,0,0,0,0,66.4159789,188.13988,0.00476,-0.00476,0.371,7.061,0.133,-0.133,2053.2,3.44,376.0,4.71,33.6,5383.0,204.0,-185.0,4.603,0.03,-0.12,0.759,291.95099,38.251701,15.983
1364,CONFIRMED,0,0,0,0,8.0103929,135.31823,0.003,-0.003,0.045,4.2713,0.0816,-0.0816,294.1,1.88,940.0,184.38,34.6,5616.0,76.0,-76.0,4.327,0.132,-0.108,1.111,289.86157,43.472771,14.601
1365,CONFIRMED,0,0,0,0,27.6666375,143.86343,0.00635,-0.00635,0.519,6.315,0.167,-0.167,324.0,2.04,622.0,35.27,24.4,5616.0,76.0,-76.0,4.327,0.132,-0.108,1.111,289.86157,43.472771,14.601
1366,CONFIRMED,0,0,0,0,5.19559398,132.72178,0.00694,-0.00694,0.054,3.748,0.188,-0.188,116.0,1.18,1085.0,327.78,16.0,5616.0,76.0,-76.0,4.327,0.132,-0.108,1.111,289.86157,43.472771,14.601
1367,CONFIRMED,0,0,0,0,57.2488518,184.6864,0.00431,-0.00431,0.022,6.083,0.134,-0.134,1455.6,3.19,431.0,8.17,29.8,5642.0,169.0,-169.0,4.542,0.044,-0.176,0.846,286.4527,42.657879,15.99
1368,CONFIRMED,0,0,0,0,37.0551726,200.20176,0.00601,-0.00601,0.884,5.439,0.16,-0.16,1028.8,3.19,498.0,14.59,23.2,5642.0,169.0,-169.0,4.542,0.044,-0.176,0.846,286.4527,42.657879,15.99
1369,CONFIRMED,0,0,0,0,16.33269981,136.90909,0.00391,-0.00391,0.893,2.174,0.114,-0.114,300.4,1.61,591.0,28.76,17.5,5208.0,103.0,-103.0,4.563,0.036,-0.052,0.772,299.89651,46.051971,12.957
1370,CONFIRMED,0,0,0,0,10.05550267,173.2234,0.0062,-0.0062,0.061,2.951,0.201,-0.201,147.7,0.92,694.0,54.96,13.6,5208.0,103.0,-103.0,4.563,0.036,-0.052,0.772,299.89651,46.051971,12.957
1371,CONFIRMED,0,0,0,0,9.30413878,140.33868,0.00228,-0.00228,0.488,1.9254,0.0716,-0.0716,637.3,1.67,583.0,27.35,24.2,4458.0,133.0,-133.0,4.611,0.052,-0.024,0.658,283.89941,41.221611,14.796
1372,CONFIRMED,0,0,0,0,4.33722007,132.85152,0.00147,-0.00147,0.053,2.4973,0.0427,-0.0427,358.5,1.63,996.0,231.86,47.9,5390.0,107.0,-107.0,4.499,0.052,-0.078,0.876,281.34882,44.295238,13.53
1373,CONFIRMED,0,0,0,0,1.653889476,132.18845,0.00265,-0.00265,0.226,1.7242,0.0811,-0.0811,124.4,0.97,1373.0,838.03,22.3,5390.0,107.0,-107.0,4.499,0.052,-0.078,0.876,281.34882,44.295238,13.53
1374,CONFIRMED,0,0,0,0,3.553831111,134.64066,0.00106,-0.00106,0.74,3.1029,0.0314,-0.0314,191.8,1.62,1292.0,658.37,77.4,6015.0,108.0,-132.0,4.37,0.095,-0.116,1.081,291.38223,38.127468,12.722
1375,CONFIRMED,0,0,0,0,1.6783263,136.05259,0.000905,-0.000905,0.91,2.5123,0.0221,-0.0221,146.3,1.57,1659.0,1797.15,76.1,6015.0,108.0,-132.0,4.37,0.095,-0.116,1.081,291.38223,38.127468,12.722
1376,CONFIRMED,0,0,0,0,5.65378163,131.71154,0.00164,-0.00164,0.439,1.9483,0.0489,-0.0489,366.8,1.82,1020.0,256.14,37.8,5988.0,161.0,-179.0,4.507,0.039,-0.221,0.934,296.75415,49.20874,14.377
1377,CONFIRMED,0,0,0,0,5.99185827,136.88244,0.00154,-0.00154,0.905,1.7215,0.0462,-0.0462,186.3,2.75,1355.0,796.76,32.1,6157.0,124.0,-124.0,4.049,0.188,-0.101,1.695,299.66046,46.198421,12.239
1378,CONFIRMED,0,0,0,0,120.0183551,134.18742,0.00471,-0.00471,0.58,11.637,0.159,-0.159,886.0,4.54,473.0,11.84,46.1,6469.0,103.0,-154.0,4.253,0.048,-0.104,1.467,286.68552,47.098221,13.256
1379,CONFIRMED,0,0,0,0,14.30517579,135.06301,0.00265,-0.00265,0.924,4.535,0.152,-0.152,863.4,3.05,693.0,54.59,37.5,5741.0,155.0,-155.0,4.555,0.034,-0.195,0.846,286.27386,48.61871,15.338
1380,CONFIRMED,0,0,0,0,13.53953595,143.15629,0.00494,-0.00494,0.219,4.389,0.176,-0.176,134.2,2.32,1079.0,320.19,21.8,6109.0,122.0,-122.0,3.985,0.188,-0.101,1.997,292.23395,41.575211,13.628
1381,CONFIRMED,0,0,0,0,22.7082375,133.72114,0.00381,-0.00381,0.032,3.503,0.119,-0.119,298.8,1.72,677.0,49.67,22.0,6170.0,174.0,-196.0,4.472,0.054,-0.216,0.992,294.26633,45.204311,14.574
1382,CONFIRMED,0,0,0,0,7.97033985,136.55775,0.00382,-0.00382,0.107,2.6675,0.0988,-0.0988,490.8,1.81,839.0,116.77,23.5,5774.0,155.0,-172.0,4.567,0.042,-0.158,0.818,287.87939,43.364071,15.833
1383,FALSE POSITIVE,0,0,1,0,5.33459393,133.43443,0.00569,-0.00569,0.158,2.642,0.163,-0.163,226.3,0.79,627.0,36.55,14.7,4275.0,115.0,-141.0,4.704,0.065,-0.03,0.533,296.97107,41.46701,14.853
1384,CONFIRMED,0,0,0,0,8.49640437,138.73595,0.00281,-0.00281,0.628,2.2128,0.0959,-0.0959,834.0,2.14,702.0,57.43,21.8,5093.0,151.0,-151.0,4.586,0.061,-0.05,0.709,284.3511,40.852982,15.888
1385,CONFIRMED,0,0,0,0,66.1843646,141.62259,0.00621,-0.00621,0.877,5.155,0.149,-0.149,560.5,2.72,436.0,8.57,21.3,5640.0,76.0,-84.0,4.447,0.063,-0.117,0.978,292.36957,43.910809,14.862
1386,CONFIRMED,0,0,0,0,2.032318856,132.64394,0.00189,-0.00189,0.009,1.1596,0.0625,-0.0625,287.5,1.12,1011.0,247.21,20.4,4670.0,93.0,-93.0,4.635,0.012,-0.048,0.682,291.66928,42.59071,15.13
1387,CONFIRMED,0,0,0,0,2.892216772,132.87726,0.00192,-0.00192,0.806,1.3596,0.0686,-0.0686,360.5,1.31,794.0,93.66,23.9,4229.0,84.0,-84.0,4.655,0.025,-0.02,0.615,294.70938,45.969501,15.068
1388,CONFIRMED,0,0,0,0,187.746606,157.35064,0.00574,-0.00574,0.015,5.885,0.179,-0.179,1583.0,2.95,267.0,1.2,20.2,5303.0,193.0,-171.0,4.55,0.075,-0.075,0.753,281.59415,42.596409,15.206
1389,CONFIRMED,0,0,0,0,2.543063763,132.68159,0.00321,-0.00321,0.215,2.8473,0.092,-0.092,152.0,1.26,1319.0,716.3,26.5,5579.0,75.0,-75.0,4.389,0.105,-0.105,1.029,295.50269,43.232792,14.736
1390,CONFIRMED,0,0,0,0,3.177414601,134.478892,0.000417,-0.000417,0.786,1.5262,0.0254,-0.0254,1134.3,2.65,997.0,233.26,113.7,5303.0,159.0,-143.0,4.63,0.032,-0.097,0.708,286.16205,39.678001,14.708
1391,CONFIRMED,0,0,0,0,2.168451063,132.14107,0.00106,-0.00106,0.207,1.458,0.0366,-0.0366,466.9,2.41,1558.0,1389.18,45.5,6153.0,193.0,-236.0,4.382,0.087,-0.217,1.109,288.74994,48.277168,15.141
1392,CONFIRMED,0,0,0,0,37.8154157,141.10346,0.00568,-0.00568,0.533,4.662,0.162,-0.162,286.4,1.21,401.0,6.09,22.4,4856.0,86.0,-106.0,4.624,0.012,-0.048,0.705,297.29242,49.981628,12.879
1393,CONFIRMED,0,0,1,0,53.5783052,171.1857,0.00744,-0.00744,0.769,5.194,0.2,-0.2,224.9,1.16,357.0,3.82,15.4,4856.0,86.0,-106.0,4.624,0.012,-0.048,0.705,297.29242,49.981628,12.879
1394,CONFIRMED,0,0,0,0,10.71253475,137.16499,0.00291,-0.00291,0.72,2.7186,0.078,-0.078,1198.6,2.02,485.0,13.09,31.2,4175.0,83.0,-91.0,4.715,0.025,-0.032,0.544,299.07709,45.440639,15.813
1395,CONFIRMED,0,0,0,0,32.5635249,163.46038,0.00564,-0.00564,0.371,5.418,0.169,-0.169,578.3,2.05,490.0,13.63,24.1,5225.0,83.0,-73.0,4.505,0.054,-0.054,0.859,283.29214,45.434109,15.48
1396,CONFIRMED,0,0,0,0,6.11784972,133.61873,0.00387,-0.00387,0.391,3.458,0.112,-0.112,60.5,1.05,1211.0,509.24,25.8,6226.0,112.0,-137.0,4.247,0.12,-0.12,1.333,290.23584,50.03009,12.168
1397,CONFIRMED,0,0,0,0,3.97599629,133.62238,0.00227,-0.00227,0.331,2.2029,0.0732,-0.0732,206.0,1.11,936.0,181.47,27.3,5143.0,102.0,-102.0,4.561,0.036,-0.05,0.778,287.52963,38.894508,14.11
1398,CONFIRMED,0,0,0,0,7.68478504,137.64035,0.00358,-0.00358,0.045,2.447,0.105,-0.105,274.1,1.47,830.0,112.06,21.4,5344.0,85.0,-74.0,4.469,0.07,-0.077,0.907,288.83401,44.838249,14.776
1399,FALSE POSITIVE,0,0,1,0,0.990516282,131.84152,0.00241,-0.00241,0.989,2.019,0.277,-0.277,101.6,3.52,2841.0,15469.83,20.4,5975.0,215.0,-179.0,3.755,0.616,-0.154,2.399,299.84909,47.20256,13.405
1400,CONFIRMED,0,0,0,0,15.0447098,133.20895,0.00584,-0.00584,0.022,5.823,0.186,-0.186,97.9,1.51,931.0,177.24,23.4,5798.0,116.0,-81.0,4.025,0.208,-0.112,1.525,293.72586,47.24704,13.037
1401,FALSE POSITIVE,0,0,1,0,29.0726293,136.97364,0.00367,-0.00367,0.682,2.516,0.11,-0.11,439.6,2.32,614.0,33.69,20.9,5799.0,157.0,-157.0,4.37,0.144,-0.192,1.042,290.37512,41.43375,14.409
1402,CONFIRMED,0,0,0,0,1.118547814,132.84826,0.00224,-0.00224,0.221,1.5534,0.0761,-0.0761,234.8,0.98,1174.0,447.97,21.7,4496.0,134.0,-121.0,4.65,0.021,-0.049,0.658,296.60342,44.129261,15.793
1403,CONFIRMED,0,0,0,0,6.42199919,134.58037,0.00343,-0.00343,0.281,2.6192,0.0841,-0.0841,161.6,1.25,1000.0,236.21,25.4,5985.0,72.0,-84.0,4.468,0.032,-0.128,0.981,291.87134,44.087379,13.862
1404,CONFIRMED,0,0,0,0,81.3153052,175.9957,0.0105,-0.0105,0.013,5.807,0.228,-0.228,715.5,2.55,393.0,5.64,20.7,5325.0,79.0,-79.0,4.39,0.12,-0.08,0.975,294.56937,45.671261,15.111
1405,CONFIRMED,0,0,0,0,51.3283527,177.67418,0.00468,-0.00468,0.582,9.357,0.156,-0.156,692.3,3.06,546.0,21.06,34.7,6119.0,171.0,-214.0,4.353,0.108,-0.201,1.119,281.32257,48.066502,14.955
1406,CONFIRMED,0,0,0,0,19.7919389,149.30719,0.00434,-0.00434,0.954,3.787,0.125,-0.125,383.7,2.58,736.0,69.48,22.8,6285.0,169.0,-206.0,4.441,0.056,-0.21,1.039,287.38208,49.452389,14.09
1407,CONFIRMED,0,0,0,0,26.8475962,142.17023,0.00479,-0.00479,0.457,10.068,0.119,-0.119,254.1,3.2,800.0,96.89,39.2,5508.0,110.0,-164.97595596755505,3.897,0.195,-0.09,1.988,291.88004,45.387932,12.848
1408,CONFIRMED,0,0,0,0,62.8917493,139.12778,0.00566,-0.00566,0.632,6.831,0.181,-0.181,791.0,2.5,384.0,5.13,22.6,5052.0,75.0,-83.0,4.48,0.083,-0.028,0.855,286.36746,48.423931,15.481
1409,CONFIRMED,0,0,0,0,14.87149773,137.69573,0.00303,-0.00303,0.018,2.4076,0.0741,-0.0741,944.9,1.59,391.0,5.51,27.3,3825.0,76.0,-84.0,4.749,0.028,-0.044,0.524,293.67422,47.908459,15.673
1410,CONFIRMED,0,0,0,0,2.732767897,354.09581,0.00145,-0.00145,0.748,1.1102,0.0521,-0.0521,613.1,1.42,687.0,52.68,27.0,3825.0,76.0,-84.0,4.749,0.028,-0.044,0.524,293.67422,47.908459,15.673
1411,FALSE POSITIVE,0,1,0,0,119.8401019,161.863461,0.00097,-0.00097,1.269,3.6796,0.0532,-0.0532,5448.7,26.96,255.0,1.0,83.7,4602.0,92.0,-92.0,4.637,0.015,-0.04,0.675,287.40244,39.190731,14.945
1412,CONFIRMED,0,0,0,0,9.61375316,132.185679,0.000971,-0.000971,0.604,4.654,0.051,-0.051,797.9,3.27,931.0,177.26,108.6,5997.0,181.0,-199.0,4.364,0.108,-0.201,1.11,290.35815,44.518749,14.283
1413,CONFIRMED,0,0,0,0,33.2407985,143.46683,0.00671,-0.00671,0.231,4.675,0.218,-0.218,341.9,1.51,486.0,13.17,20.4,5382.0,80.0,-80.0,4.571,0.015,-0.095,0.827,290.34851,50.902851,14.477
1414,FALSE POSITIVE,0,0,1,1,2.97600846,132.98121,0.00551,-0.00551,0.715,4.274,0.219,-0.219,103.2,2.27,1892.0,3034.68,25.9,6208.0,198.0,-242.0,3.898,0.42,-0.14,2.088,290.13821,38.491184,13.4
1415,CONFIRMED,0,0,0,0,15.18727049,134.05495,0.00479,-0.00479,0.839,4.509,0.154,-0.154,292.5,1.94,789.0,91.56,21.4,6136.0,183.0,-220.0,4.414,0.105,-0.195,1.005,294.61481,40.833172,14.724
1416,CONFIRMED,0,0,0,0,28.6853212,159.87094,0.00585,-0.00585,0.922,6.307,0.174,-0.174,689.1,2.69,547.0,21.09,23.8,5726.0,143.0,-172.0,4.559,0.04,-0.16,0.838,292.29062,44.653252,15.658
1417,CONFIRMED,0,1,0,0,0.588001053,132.058754,0.000814,-0.000814,0.403,1.1451,0.0288,-0.0288,297.4,0.99,1188.0,473.45,50.9,3814.0,76.0,-84.0,4.687,0.039,-0.018,0.57,292.77338,44.178131,14.934
1418,CONFIRMED,0,0,0,0,85.7357202,170.98121,0.00792,-0.00792,0.033,7.625,0.26,-0.26,747.7,2.94,448.0,9.54,20.8,6096.0,193.0,-214.0,4.397,0.09,-0.21,1.077,289.4415,42.498131,15.301
1419,CONFIRMED,0,0,0,0,1.078389713,133.25041,0.00208,-0.00208,0.846,1.3394,0.0646,-0.0646,300.5,1.98,1667.0,1817.38,23.6,5325.0,175.0,-143.0,4.384,0.162,-0.216,0.985,290.27969,41.515049,15.143
1420,CONFIRMED,0,0,0,0,5.03728033,134.1094,0.00258,-0.00258,0.96,2.0619,0.0628,-0.0628,76.3,1.55,1321.0,720.22,20.9,6387.0,115.0,-140.0,4.271,0.066,-0.123,1.381,294.46854,49.33102,12.189
1421,CONFIRMED,0,0,0,0,3.289726319,131.75522,0.00211,-0.00211,0.052,2.3274,0.0662,-0.0662,234.9,1.37,1116.0,367.18,27.0,5463.0,82.0,-73.0,4.492,0.045,-0.098,0.91,286.28473,44.781551,14.866
1422,CONFIRMED,0,0,0,0,7.18644594,136.62345,0.00237,-0.00237,0.892,1.4972,0.0637,-0.0637,402.0,2.19,860.0,129.48,23.8,5463.0,82.0,-73.0,4.492,0.045,-0.098,0.91,286.28473,44.781551,14.866
1423,CONFIRMED,0,0,0,0,15.94248453,146.33157,0.00298,-0.00298,0.022,3.4894,0.0806,-0.0806,1093.7,2.62,616.0,34.06,34.3,5376.0,186.0,-186.0,4.576,0.034,-0.136,0.806,293.82431,42.779701,15.886
1424,CONFIRMED,0,0,0,0,41.0081117,147.03382,0.00238,-0.00238,0.878,4.376,0.113,-0.113,1004.5,2.64,425.0,7.72,43.9,5303.0,159.0,-143.0,4.63,0.032,-0.097,0.708,286.16205,39.678001,14.708
1425,CONFIRMED,0,0,0,0,11.55562042,138.19752,0.00207,-0.00207,0.874,1.6758,0.0649,-0.0649,441.5,2.11,703.0,57.75,22.7,5420.0,73.0,-81.0,4.555,0.019,-0.097,0.85,293.32242,42.86747,14.816
1426,CONFIRMED,0,0,0,0,17.13263125,147.1546,0.00403,-0.00403,0.298,3.0555,0.0958,-0.0958,850.2,2.31,611.0,32.91,26.4,5477.0,182.0,-182.0,4.578,0.036,-0.144,0.794,295.56799,42.478298,15.842
1427,CONFIRMED,0,0,0,0,19.0231361,139.65988,0.00447,-0.00447,0.698,3.431,0.13,-0.13,401.6,2.04,647.0,41.5,19.7,5569.0,75.0,-83.0,4.459,0.059,-0.11,0.954,292.17114,40.916309,15.198
1428,CONFIRMED,0,0,0,0,4.57948235,135.09685,0.00547,-0.00547,0.055,3.106,0.159,-0.159,207.1,1.35,1040.0,276.82,20.0,5569.0,75.0,-83.0,4.459,0.059,-0.11,0.954,292.17114,40.916309,15.198
1429,CONFIRMED,0,0,0,0,1.003931703,132.09988,0.00247,-0.00247,0.023,1.4361,0.0634,-0.0634,491.1,1.6,1419.0,962.58,25.2,4949.0,176.0,-176.0,4.552,0.072,-0.048,0.741,298.30273,47.694031,15.942
1430,FALSE POSITIVE,0,1,0,0,0.614083885,132.46969,0.00111,-0.00111,0.106,0.9817,0.0403,-0.0403,389.5,2.55,2603.0,10827.22,36.4,6521.0,158.0,-249.0,4.352,0.062,-0.2,1.276,297.01965,49.997379,15.177
1431,CONFIRMED,0,0,0,0,55.8224775,169.03741,0.00545,-0.00545,0.031,5.457,0.17,-0.17,879.6,2.13,379.0,4.85,23.7,5162.0,153.0,-138.0,4.611,0.033,-0.083,0.736,287.2977,47.455441,15.624
1432,FALSE POSITIVE,1,0,0,0,1.34145255,132.69106,0.00821,-0.00821,0.68,7.502,0.227,-0.227,26.6,1.31,3015.0,19568.74,31.2,7495.0,235.0,-314.0,3.926,0.266,-0.123,2.389,294.15366,46.309681,12.783
1433,CONFIRMED,0,0,0,0,6.11010439,136.91214,0.00587,-0.00587,0.284,2.314,0.182,-0.182,59.7,0.93,1125.0,378.84,11.8,6213.0,112.0,-137.0,4.387,0.03,-0.113,1.195,294.91156,46.491459,12.716
1434,CONFIRMED,0,1,0,0,4.286866229,138.614882,0.000611,-0.000611,0.757,4.4726,0.0748,-0.0748,1321.9,4.14,1217.0,517.66,167.3,6228.0,172.0,-216.0,4.441,0.052,-0.208,1.049,291.08014,43.860199,14.982
1435,CONFIRMED,0,0,0,0,13.39155154,133.05499,0.0035,-0.0035,0.539,3.391,0.107,-0.107,48.9,1.58,1180.0,459.23,24.5,6197.0,135.0,-111.0,3.837,0.233,-0.093,2.188,285.1828,43.831078,10.421
1436,CONFIRMED,0,0,0,0,5.62904396,134.74679,0.00305,-0.00305,0.237,3.7295,0.0876,-0.0876,39.5,1.39,1576.0,1459.41,32.2,6197.0,135.0,-111.0,3.837,0.233,-0.093,2.188,285.1828,43.831078,10.421
1437,CONFIRMED,0,0,0,0,12.33087921,361.9744,0.0027,-0.0027,0.011,3.0664,0.0807,-0.0807,872.2,2.34,671.0,47.99,28.3,5376.0,186.0,-186.0,4.576,0.034,-0.136,0.806,293.82431,42.779701,15.886
1438,CONFIRMED,0,0,0,0,4.421566535,132.18465,0.00183,-0.00183,0.869,2.1229,0.0576,-0.0576,684.0,2.19,729.0,66.94,31.9,4299.0,86.0,-86.0,4.604,0.033,-0.015,0.697,281.11176,42.45491,15.18
1439,CONFIRMED,0,0,0,0,15.72585941,133.98774,0.00387,-0.00387,0.122,3.8284,0.0841,-0.0841,1313.1,2.69,602.0,31.13,32.7,5332.0,106.0,-106.0,4.597,0.018,-0.077,0.755,294.15332,46.166439,16.144
1440,CONFIRMED,0,0,0,0,1.252753881,133.17054,0.00148,-0.00148,0.4,2.1472,0.0471,-0.0471,200.0,2.44,2199.0,5545.35,40.5,5907.0,80.0,-80.0,4.041,0.196,-0.084,1.705,291.1452,44.062538,14.69
1441,CONFIRMED,0,0,0,0,76.957056,192.33682,0.00684,-0.00684,0.638,9.551,0.189,-0.189,367.1,2.09,451.0,9.81,26.5,5878.0,157.0,-157.0,4.363,0.153,-0.187,1.041,286.00296,44.756592,14.353
1442,CONFIRMED,0,0,0,0,9.98970266,133.76102,0.00342,-0.00342,0.005,3.7,0.109,-0.109,988.4,2.48,705.0,58.26,24.1,5265.0,184.0,-184.0,4.58,0.03,-0.112,0.81,292.16858,43.779671,15.909
1443,CONFIRMED,0,0,0,0,5.63252508,133.81818,0.000867,-0.000867,0.455,2.1448,0.0303,-0.0303,634.4,2.04,844.0,119.75,70.9,5216.0,157.0,-157.0,4.58,0.028,-0.105,0.804,295.10995,43.915211,14.353
1444,CONFIRMED,0,0,0,0,1.442592305,134.07188,0.00278,-0.00278,0.207,2.9698,0.0858,-0.0858,166.0,2.67,2700.0,12557.23,27.1,7216.0,203.0,-279.0,3.983,0.28,-0.151,2.043,294.95892,38.591572,11.558
1445,CONFIRMED,0,0,0,0,14.17222858,142.60134,0.0032,-0.0032,0.869,2.6297,0.083,-0.083,246.8,2.39,873.0,137.33,24.5,5845.0,105.0,-117.0,4.2,0.176,-0.108,1.314,291.60718,38.410389,13.776
1446,CONFIRMED,0,0,0,0,4.92031063,135.40577,0.0051,-0.0051,0.242,4.046,0.131,-0.131,81.0,1.18,1242.0,562.99,17.7,5845.0,105.0,-117.0,4.2,0.176,-0.108,1.314,291.60718,38.410389,13.776
1447,CONFIRMED,0,0,0,0,13.82142084,131.79237,0.00125,-0.00125,0.904,3.985,0.124,-0.124,765.2,2.2,560.0,23.15,75.3,4983.0,100.0,-100.0,4.66,0.017,-0.052,0.651,286.75278,49.064911,14.139
1448,FALSE POSITIVE,0,0,1,0,2.30367952,133.76909,0.00423,-0.00423,0.964,3.0898,0.0835,-0.0835,136.4,1.3,1384.0,866.21,18.9,6191.0,167.0,-204.0,4.546,0.034,-0.195,0.865,287.80408,43.168961,15.206
1449,CONFIRMED,0,0,0,0,11.08507658,355.03627,0.0034,-0.0034,0.819,1.751,0.103,-0.103,771.8,2.5,665.0,46.17,17.7,5080.0,184.0,-163.0,4.538,0.065,-0.065,0.793,291.88126,44.555729,15.938
1450,CONFIRMED,0,0,0,0,0.571038347,131.653752,0.000922,-0.000922,0.876,1.1267,0.0331,-0.0331,242.1,1.65,1897.0,3069.59,38.2,5132.0,84.0,-77.0,4.457,0.096,-0.036,0.886,291.04993,39.14167,14.098
1451,CONFIRMED,1,0,0,0,4.51005082,134.56954,0.00287,-0.00287,0.115,2.1533,0.0872,-0.0872,294.8,1.74,1063.0,301.74,21.5,5362.0,80.0,-72.0,4.352,0.144,-0.108,1.032,296.04233,45.985142,14.979
1452,CONFIRMED,0,0,0,0,37.6468519,161.46355,0.00486,-0.00486,0.008,6.344,0.133,-0.133,427.4,5.37,787.0,90.85,31.0,5443.0,76.0,-87.0,3.74,0.255,-0.085,2.652,291.64624,39.396629,14.288
1453,CONFIRMED,0,0,0,0,12.466004437,134.003258,0.000376,-0.000376,0.209,5.0066,0.0198,-0.0198,2232.1,5.65,897.0,152.76,304.6,6038.0,121.0,-121.0,4.284,0.137,-0.112,1.191,291.11188,39.949108,14.247
1454,CONFIRMED,0,0,0,0,2.361724472,133.23932,0.0012,-0.0012,0.009,1.2167,0.0423,-0.0423,587.0,1.53,922.0,170.59,34.6,4478.0,133.0,-133.0,4.615,0.052,-0.024,0.651,284.10779,44.245811,15.658
1455,CONFIRMED,0,0,0,0,34.7630543,161.74217,0.00531,-0.00531,0.731,4.309,0.134,-0.134,293.7,1.75,554.0,22.23,24.0,5670.0,113.0,-102.0,4.387,0.138,-0.092,0.95,292.32645,38.657581,13.865
1456,CONFIRMED,0,0,0,0,20.0545282,136.56587,0.00561,-0.00561,0.939,7.173,0.129,-0.129,305.4,2.63,755.0,76.97,26.9,6056.0,81.0,-90.0,4.332,0.08,-0.12,1.209,291.2562,49.258949,14.881
1457,CONFIRMED,0,0,0,0,3.17059731,132.67813,0.0025,-0.0025,0.793,1.6686,0.0835,-0.0835,325.4,1.69,1080.0,321.28,20.1,5431.0,81.0,-81.0,4.563,0.011,-0.088,0.843,285.89923,48.307301,15.353
1458,CONFIRMED,0,0,0,0,27.0142622,132.52245,0.00487,-0.00487,0.009,5.385,0.126,-0.126,287.6,2.0,677.0,49.65,25.5,5949.0,107.0,-119.0,4.303,0.12,-0.108,1.184,295.422,38.735691,13.86
1459,CONFIRMED,0,0,0,0,12.50945798,136.99217,0.0046,-0.0046,0.626,3.479,0.145,-0.145,155.3,1.54,875.0,138.54,16.0,5949.0,107.0,-119.0,4.303,0.12,-0.108,1.184,295.422,38.735691,13.86
